Age,Temperature
9938.54395,-0.97
9957.35059,0.35
9975.76270,-0.36
9993.95703,-0.75
10011.9775,0.26
10029.3438,0.32
10046.7100,-0.20
10064.6074,0.29
10082.8076,-1.18
10100.7148,0.02
10117.3848,1.39
10134.0547,0.43
10151.3037,-0.02
10169.0801,-0.47
10186.8447,0.38
10204.6504,-0.20
10222.4570,-1.08
10240.6914,-1.38
10259.3174,0.61
10277.8193,-0.07
10295.4287,-0.15
10313.0391,0.12
10331.2852,-1.76
10349.9658,0.26
10368.6934,-1.27
10387.6484,-0.47
10406.6045,-0.71
10425.6660,-1.53
10444.7451,0.31
10462.4648,0.53
10478.7090,1.16
10494.9551,0.41
10511.0078,-0.02
10527.0107,2.12
10543.0801,-1.23
10561.7129,-0.12
10580.3486,-0.55
10599.0938,-0.88
10617.9082,-0.64
10636.5059,-0.51
10654.5195,-0.27
10672.5352,0.86
10690.5020,-0.77
10708.4600,-0.84
10726.8691,-1.01
10746.2324,-1.08
10765.5918,-0.96
10784.1104,-0.35
10802.6348,-0.22
10820.6396,0.25
10838.3174,-0.51
10856.1475,-1.36
10875.4150,-0.80
10894.6758,-0.33
10912.8857,0.28
10930.7822,-0.96
10949.2148,-1.81
10968.9082,-0.66
10988.5869,-0.12
11006.1572,-0.27
11023.7334,0.30
11041.7080,-0.08
11060.0918,-1.45
11078.5186,-1.14
11097.5898,-0.47
11116.6689,-1.41
11136.4746,-1.62
11156.5488,-0.93
11175.1875,0.37
11192.2822,0.53
11209.3838,0.18
11227.6016,-0.29
11245.9404,-2.15
11264.5518,-0.61
11283.4590,-0.32
11302.1328,-0.95
11318.9443,1.29
11335.7520,1.11
11353.6064,-1.77
11372.5303,-0.78
11391.5273,-1.59
11410.9902,-0.77
11430.4473,-0.37
11448.0908,0.42
11465.3408,0.14
11482.4912,0.79
11499.3379,0.28
11516.1816,-0.73
11534.6416,-1.33
11554.0088,-0.92
11573.4229,-1.16
11592.9346,-1.15
11612.4434,-0.19
11630.7852,-1.05
11649.1289,0.01
11667.3623,-1.06
11685.5176,0.07
11703.7500,-1.29
11722.7441,-0.50
11741.7461,-0.88
11760.4072,0.07
11778.9531,-1.30
11798.4639,-2.48
11819.9482,-1.85
11841.3965,-2.09
11862.6777,-1.86
11883.9570,-2.11
11905.2725,-1.84
11926.5986,-2.78
11949.4121,-2.64
